,ASR Transcript (Taken From Actual TCS Task),use pretrained xlmr for reranking,Claim 1 Relevance,Claim 2 Relevance,Claim 3 relevance,Score,continue_pretrained_result
23,"We worked with John Hopkins’ applied physics lab and we actually developed a larger drum to actually do more testing and it’s four times the size of that. So, this is the capability that we bring to this effort. So, in summary, within the conditions we’ve tested today, the virus in droplets of saliva survives best in indoors and dry conditions. The virus does not survive as well in droplets of saliva, and that’s important because a lot of testing being done is not necessarily being done, number one, with the COVID-19 virus and number two, in saliva or respiratory fluids","'claim: The TikTok shows a screen recording from the Stew Peters show, where '
  'Dr Bryans Ardis talks about the origins of COVID-19 being linked to snake '
  'venom. He says its not a respiratory virus but rather venom poisoning.\n'
  '\n'
  'It also includes a screen recording of t, notes: The claim is false.  '
  'COVID-19 is a respiratory virus caused by SARS-CoV-2. According to the '
  'Johns Hopkins institute, the virus may have originated in an animal and '
  'mutated, as a result causing sickness in humans. No mention of snakes are '
  'made as a potential origin for the virus however research is still being '
  'conducted on the virus’ origins. None of the vaccines list snake venom, its '
  'respective peptides or similar substances as a component.  The University '
  'of Arizona research did conclude an enzyme similar to rattlesnake venom may '
  'be an important factor predicting COVID-19 mortality - however, a healthy '
  'human body already produces the enzyme in low concentrations. No direct '
  'links in the research were made.  ',
  'claim: The TikTok shows a screen recording from the Stew Peters show, where '
  'Dr Bryans Ardis talks about the origins of COVID-19 being linked to snake '
  'venom. He says its not a respiratory virus but rather venom poisoning., '
  'notes: The claim is false.  COVID-19 is a respiratory virus caused by '
  'SARS-CoV-2. According to the Johns Hopkins institute, the virus may have '
  'originated in an animal and mutated, as a result causing sickness in '
  'humans. No mention of snakes are made as a potential origin for the virus '
  'however research is still being conducted on the virus’ origins. None of '
  'the vaccines list snake venom, its respective peptides or similar '
  'substances as a component.  The University of Arizona research did conclude '
  'an enzyme similar to rattlesnake venom may be an important factor '
  'predicting COVID-19 mortality - however, a healthy human body already '
  'produces the enzyme in low concentrations. No direct links in the research '
  'were made.  ',
  'claim: ""Covid-19 virus turns people into zombies. "", notes: ""There is no '
  'credible basis to this claim.\\n\\nThe Covid-19 virus does not turn people '
  'into zombies.\\n\\n\\n""'",0.5,0.5,0.0,Somewhat Relevant ,"['claim: The TikTok shows a screen recording from the Stew Peters show, where Dr Bryans Ardis talks about the origins of COVID-19 being linked to snake venom. He says its not a respiratory virus but rather venom poisoning.\n\nIt also includes a screen recording of t, notes: The claim is false.  COVID-19 is a respiratory virus caused by SARS-CoV-2. According to the Johns Hopkins institute, the virus may have originated in an animal and mutated, as a result causing sickness in humans. No mention of snakes are made as a potential origin for the virus however research is still being conducted on the virus’ origins. None of the vaccines list snake venom, its respective peptides or similar substances as a component.  The University of Arizona research did conclude an enzyme similar to rattlesnake venom may be an important factor predicting COVID-19 mortality - however, a healthy human body already produces the enzyme in low concentrations. No direct links in the research were made.  ', 'claim: The TikTok shows a screen recording from the Stew Peters show, where Dr Bryans Ardis talks about the origins of COVID-19 being linked to snake venom. He says its not a respiratory virus but rather venom poisoning., notes: The claim is false.  COVID-19 is a respiratory virus caused by SARS-CoV-2. According to the Johns Hopkins institute, the virus may have originated in an animal and mutated, as a result causing sickness in humans. No mention of snakes are made as a potential origin for the virus however research is still being conducted on the virus’ origins. None of the vaccines list snake venom, its respective peptides or similar substances as a component.  The University of Arizona research did conclude an enzyme similar to rattlesnake venom may be an important factor predicting COVID-19 mortality - however, a healthy human body already produces the enzyme in low concentrations. No direct links in the research were made.  ', 'claim: ""Covid-19 virus turns people into zombies. "", notes: ""There is no credible basis to this claim.\\n\\nThe Covid-19 virus does not turn people into zombies.\\n\\n\\n""']"
24," And while that’s coming up, our most striking observation to date is the powerful effect that solar light appears to have on killing the virus, both surfaces and in the air. We’ve seen a similar effect with both temperature and humidity as well, where increasing the temperature and humidity or both is generally less favorable to the virus","claim: ""UV light kills all viruses. The man in the video therefore wonders '
  'why Corona measures were necessary at all."", notes: ""On surfaces, UV light '
  'can actually help against viruses, but a certain radiation strength has to '
  'be in place for this to happen. In contact with the human body, such UV '
  'light is dangerous.""',
  'claim: , notes: This video is dangerous misinformation. According to a USA '
  'Today fact-check of similar claims from September 2021, the claim that a '
  'humidified can without question prevent Covid-19 is exaggerated. And as '
  'this claim is about a specific product, rather than about humidifiers in '
  'general, it’s also making exaggerated claims about the brand; greater air '
  'humidity in winter can protect against viruses, and adding moisture to the '
  'air is not a special feature unique to this machine. \n'
  ' ',
  'claim: , notes: The video indicates that the sun light kills bacteria and '
  ""viruses, this being allegedly God's plan. UV light from the sun light can ""
  'kill viruses, but they survive for a while and can spread in the form of '
  'aerosols. '",1.0,1.0,1.0,Highly Relevant,"['claim: ""UV light kills all viruses. The man in the video therefore wonders why Corona measures were necessary at all."", notes: ""On surfaces, UV light can actually help against viruses, but a certain radiation strength has to be in place for this to happen. In contact with the human body, such UV light is dangerous.""', 'claim: , notes: This video is dangerous misinformation. According to a USA Today fact-check of similar claims from September 2021, the claim that a humidified can without question prevent Covid-19 is exaggerated. And as this claim is about a specific product, rather than about humidifiers in general, it’s also making exaggerated claims about the brand; greater air humidity in winter can protect against viruses, and adding moisture to the air is not a special feature unique to this machine. \n ', ""claim: , notes: The video indicates that the sun light kills bacteria and viruses, this being allegedly God's plan. UV light from the sun light can kill viruses, but they survive for a while and can spread in the form of aerosols. ""]"
25,"But now we are a nation in decline. We are a failing nation. We are a nation that has the highest inflation in 50 years where banks are collapsing and interest rates are skyrocketing. Likewise, we are a nation where energy costs have reached the highest levels in our history. We are no longer energy independent or energy dominant as we were just a few short years ago. We are a nation that is begging Venezuela and others for oil.","claim: ""The brain and the pineal gland make energy to the body with copper '
  'and carbon.\\n"", notes: ""Through a reverse search, the original video was '
  'not found. However, this TikTok video misrepresented the function of the '
  'body and the generation of energy. \\n\\nAccording to Univision, there '
  'exist different ways to make energy, with fossil fuels, nuclear fission and '
  'renewable sources. It is true that copper and carbon are two ways to '
  'generate energy, but it also can be generated with petroleum, water, air '
  'and natural gas. \\n\\nIn the human body, the energy is produced by cells '
  'and many factors, like adenosine triphosphate, sodium, potassium, carbon '
  'dioxide, copper, calcium, magnesium and zinc. These ingredients act in a '
  'chemical reaction to generate energy.\\n\\nAlso, the human brain makes '
  'energy through ATP production, glycolysis, oxidative phosphorylation, fatty '
  'acid metabolism and Krebs Cycle. So,the energy in the body not is generated '
  'only with the interaction of the cerebral cortex and pineal gland.\\n\\nIn '
  'that sense, the body needs copper to make energy and it is acquired through '
  'alimentation, but an excess of copper can be dangerous to the human body, '
  'as the National Institute of Health of the U.S reported. \\n\\nOn the other '
  'hand, the pineal gland synchronizes our internal clock with the light-dark '
  'cycle and produces melatonin. Despite the studies of its functions '
  'continue, it has influences in other glands and has an important role in '
  'the development of sexual organs. However, there is no evidence that it '
  'makes energy with the brain.""',
  'claim: Renewable energy is unreliable and more expensive than fossil '
  'generated energy, notes: This is misleading. The video repeats a number of '
  'false claims made about the viability of renewable energy. Factcheckers '
  'have found that claims renewable energy is vastly more expensive and '
  'inefficient than fossil fuels are overstated. Renewable energy is often the '
  'most affordable form of energy production. ',
  'claim: ""Oil production nearly doubled under the Obama-Biden administration '
  'and Biden recently broke Trump\'s record for oil production. "", notes: '
  '""According to CNN, the U.S. was pumping just 5.1 million barrels per day '
  'when Obama took office in January 2009, according to the U.S. Energy '
  'Information Administration. Fast forward to April and the U.S. produced 8.9 '
  ""million barrels per day. That's an incredible 74% increase. In fact, in ""
  '2015, the U.S. pumped the most oil in 43 years.\\nAlso, Politico reported '
  'in September that under Biden, domestic production is projected to reach an '
  'all-time record high of 12.9 million barrels a day by the end of this year, '
  'according to the U.S. Energy Information Administration.""'",0.0,0.0,0.5,Somewhat Relevant ,"['claim: ""The brain and the pineal gland make energy to the body with copper and carbon.\\n"", notes: ""Through a reverse search, the original video was not found. However, this TikTok video misrepresented the function of the body and the generation of energy. \\n\\nAccording to Univision, there exist different ways to make energy, with fossil fuels, nuclear fission and renewable sources. It is true that copper and carbon are two ways to generate energy, but it also can be generated with petroleum, water, air and natural gas. \\n\\nIn the human body, the energy is produced by cells and many factors, like adenosine triphosphate, sodium, potassium, carbon dioxide, copper, calcium, magnesium and zinc. These ingredients act in a chemical reaction to generate energy.\\n\\nAlso, the human brain makes energy through ATP production, glycolysis, oxidative phosphorylation, fatty acid metabolism and Krebs Cycle. So,the energy in the body not is generated only with the interaction of the cerebral cortex and pineal gland.\\n\\nIn that sense, the body needs copper to make energy and it is acquired through alimentation, but an excess of copper can be dangerous to the human body, as the National Institute of Health of the U.S reported. \\n\\nOn the other hand, the pineal gland synchronizes our internal clock with the light-dark cycle and produces melatonin. Despite the studies of its functions continue, it has influences in other glands and has an important role in the development of sexual organs. However, there is no evidence that it makes energy with the brain.""', 'claim: Renewable energy is unreliable and more expensive than fossil generated energy, notes: This is misleading. The video repeats a number of false claims made about the viability of renewable energy. Factcheckers have found that claims renewable energy is vastly more expensive and inefficient than fossil fuels are overstated. Renewable energy is often the most affordable form of energy production. ', 'claim: ""Oil production nearly doubled under the Obama-Biden administration and Biden recently broke Trump\'s record for oil production. "", notes: ""According to CNN, the U.S. was pumping just 5.1 million barrels per day when Obama took office in January 2009, according to the U.S. Energy Information Administration. Fast forward to April and the U.S. produced 8.9 million barrels per day. That\'s an incredible 74% increase. In fact, in 2015, the U.S. pumped the most oil in 43 years.\\nAlso, Politico reported in September that under Biden, domestic production is projected to reach an all-time record high of 12.9 million barrels a day by the end of this year, according to the U.S. Energy Information Administration.""']"
26,"They wouldn’t even have thought of doing such a thing if President Trump was in the Oval Office. They would not have even thought about it. Iran was broke under President Trump. They didn’t have the money to fund Hamas, Hezbollah and all of the other instruments of terror that they can now fund very easily. But those sanctions were lifted by a corrupt Biden administration and now Iran as a rich country with $200 billion and another 6 billion for hostages and $10 billion for electricity to Iraq all compliments of the incompetent Biden administration. And China with Taiwan is next.","claim: ""President Trump speaks to Saddam Hussein from the White House."", '
  'notes: ""This post falsely claims to show President Trump having a phone '
  'conversation with the late president of Iraq, Saddam Hussein.\\nThis is not '
  'true; Saddam Hussien was executed on December 6, 2006, long before Trump '
  'became the president of the United States. ""',
  'claim: ""President Joe Biden gave Iran $6 billion that was used for Hamas\' '
  'attack on Israel.\\n"", notes: ""Israel was attacked recently by Hamas, a '
  'Palestinian Islamist militant group that is backed by Iran. Biden recently '
  'brokered a deal that saw Iran release five Americans who were imprisoned in '
  'the country in exchange for access to $6 billion for humanitarian purposes. '
  'Conservatives have attacked Biden for this deal, saying the money will be '
  'used to fund terrorism and groups like Hamas. However, the State Department '
  'has stressed that Iran itself will not have control over the funds. '
  'Instead, it will be paid out to “vetted third-party vendors for food, '
  'medicine, medical products and agricultural products.” The U.S. has strict '
  'oversight on where and how the money is used.\\n""',
  'claim: ""The $6 billion President Biden gave to Iran would be used for '
  'terror attacks across the Middle East. \\n"", notes: ""Iran is a backer of '
  'Hamas, a terrorist group filled with Palestinian militants. The money that '
  'was released to Iran in a prisoner transfer was never the United States’ '
  'money, it was from Iranian profits from oil sales. There is no evidence '
  'this money, subject to Treasury Department oversight, was used to finance '
  'the attacks in Israel, and the Biden administration says the money has not '
  'been spent yet. \\n""'",0.0,1.0,1.0,Highly Relevant,"['claim: ""President Trump speaks to Saddam Hussein from the White House."", notes: ""This post falsely claims to show President Trump having a phone conversation with the late president of Iraq, Saddam Hussein.\\nThis is not true; Saddam Hussien was executed on December 6, 2006, long before Trump became the president of the United States. ""', 'claim: ""President Joe Biden gave Iran $6 billion that was used for Hamas\' attack on Israel.\\n"", notes: ""Israel was attacked recently by Hamas, a Palestinian Islamist militant group that is backed by Iran. Biden recently brokered a deal that saw Iran release five Americans who were imprisoned in the country in exchange for access to $6 billion for humanitarian purposes. Conservatives have attacked Biden for this deal, saying the money will be used to fund terrorism and groups like Hamas. However, the State Department has stressed that Iran itself will not have control over the funds. Instead, it will be paid out to “vetted third-party vendors for food, medicine, medical products and agricultural products.” The U.S. has strict oversight on where and how the money is used.\\n""', 'claim: ""The $6 billion President Biden gave to Iran would be used for terror attacks across the Middle East. \\n"", notes: ""Iran is a backer of Hamas, a terrorist group filled with Palestinian militants. The money that was released to Iran in a prisoner transfer was never the United States’ money, it was from Iranian profits from oil sales. There is no evidence this money, subject to Treasury Department oversight, was used to finance the attacks in Israel, and the Biden administration says the money has not been spent yet. \\n""']"
27,"Just days ago, we learned that an illegal alien wanted for murder in Mexico, secretly violated our border and was discovered in Las Vegas. They believe he’s killed two people. Last year, another sadistic, illegal alien murder with a previous criminal record went on the stabbing spree on the Las Vegas strip, killing two people and badly wounding six more badly. Badly.","claim: ""An alien was discovered in Mexico.\\n"", notes: ""Misinformation. An '
  '“ufologist” named Jaime Maussan showed what he claimed to be “non-human” '
  'corpses to Mexican lawmakers on Sept. 12. Maussan is not a reputable '
  'expert. According to the Washington Post, scientists said that a similar '
  'set of “aliens” presented by him in 2017 were simply mummified humans. '
  'According to the Independent, the previous discoveries by Maussan were '
  'later debunked, and the bodies he presented in 2017 were human children. '
  'According to Reuters, scientists said that the bodies were “an '
  'already-debunked - perhaps criminal - stunt.” According to NASA, '
  'extraterrestrial life has never been discovered.\\n""',
  'claim: Alien bodies found in Mexico have been confirmed to be real '
  'extraterrestrials. , notes: The alien bodies found in Mexico and presented '
  'to the Mexican government have not been confirmed to be real aliens. The '
  ""bodies were 'discovered' by known creators of prior alien hoaxes, and ""
  'experts remain highly sceptical of the alleged alien bodies. It is '
  'suspected they are either distorted human remains or an outright fake, but '
  'outside experts have been unable to study the sample and confirm. ',
  'claim: , notes: In this video, a group of people claim that as they were '
  'passing through the US-Mexico border they were stopped by border patrol. '
  'One person claims that while they were sitting in border patrol cars, about '
  '60 ""illegals"", or immigrants, were waiting in the area. There is not enough '
  'information in this video to verify the claims being made. While it does '
  'look like the group were stopped by border patrol officers, the context of '
  'the situation is unconfirmed.'",0.5,0.5,0.5,Somewhat Relevant ,"['claim: ""An alien was discovered in Mexico.\\n"", notes: ""Misinformation. An “ufologist” named Jaime Maussan showed what he claimed to be “non-human” corpses to Mexican lawmakers on Sept. 12. Maussan is not a reputable expert. According to the Washington Post, scientists said that a similar set of “aliens” presented by him in 2017 were simply mummified humans. According to the Independent, the previous discoveries by Maussan were later debunked, and the bodies he presented in 2017 were human children. According to Reuters, scientists said that the bodies were “an already-debunked - perhaps criminal - stunt.” According to NASA, extraterrestrial life has never been discovered.\\n""', ""claim: Alien bodies found in Mexico have been confirmed to be real extraterrestrials. , notes: The alien bodies found in Mexico and presented to the Mexican government have not been confirmed to be real aliens. The bodies were 'discovered' by known creators of prior alien hoaxes, and experts remain highly sceptical of the alleged alien bodies. It is suspected they are either distorted human remains or an outright fake, but outside experts have been unable to study the sample and confirm. "", 'claim: , notes: In this video, a group of people claim that as they were passing through the US-Mexico border they were stopped by border patrol. One person claims that while they were sitting in border patrol cars, about 60 ""illegals"", or immigrants, were waiting in the area. There is not enough information in this video to verify the claims being made. While it does look like the group were stopped by border patrol officers, the context of the situation is unconfirmed.']"
28,"We could actually win with Hispanics. I mean, it was unthinkable two or three years ago, we won the state of Florida. We did so well in Texas. We won the state of Texas and all of the border towns voted for Trump, and they’re about 85, 90% Hispanic and won every single town along the border.","claim: ""Trump won all 50 states in the 2020 elections if absentee ballots '
  'were not counted."", notes: ""It is true that Trump gained far more in-person '
  'votes and Biden benefitted from absentee ballots. However, even with this '
  'Trump would not have won all 50 states - Delaware, New Hampshire, New York '
  'and Pennsylvania all voted Democrat.\\n\\nMODERATOR REVIEW: This can be '
  ""tagged for Election Misinformation since it's incorrect information and for ""
  'the verbage used (Trump won vs Trump would have won).""',
  'claim: , notes: The primary claim is that in the event that the '
  'presidential election had to be determined by the House of Representatives, '
  'Donald Trump would have won because the vote is determined by state, and '
  'Republicans controlled more states than Democrats. This is true, according '
  'to ABC News. Republicans controlled 26 states, while Democrats controlled '
  '23. Rating: Not misinformation, true ',
  'claim: ""Video claims that a Trump Administration policy of DNA testing '
  'adults with children at the border found that ⅓ of those children were '
  'being trafficked by people unrelated to them. "", notes: ""Although the Trump '
  'Administration did enact such a policy there was no evidence that it found '
  '⅓ of children coming through the border were being trafficked. A Trump '
  'official did claim the policy found 30% of children were being trafficking, '
  'however, the official could not back up that statistic. \\n""'",0.5,0.5,0.0,Somewhat Relevant ,"['claim: ""Trump won all 50 states in the 2020 elections if absentee ballots were not counted."", notes: ""It is true that Trump gained far more in-person votes and Biden benefitted from absentee ballots. However, even with this Trump would not have won all 50 states - Delaware, New Hampshire, New York and Pennsylvania all voted Democrat.\\n\\nMODERATOR REVIEW: This can be tagged for Election Misinformation since it\'s incorrect information and for the verbage used (Trump won vs Trump would have won).""', 'claim: , notes: The primary claim is that in the event that the presidential election had to be determined by the House of Representatives, Donald Trump would have won because the vote is determined by state, and Republicans controlled more states than Democrats. This is true, according to ABC News. Republicans controlled 26 states, while Democrats controlled 23. Rating: Not misinformation, true ', 'claim: ""Video claims that a Trump Administration policy of DNA testing adults with children at the border found that ⅓ of those children were being trafficked by people unrelated to them. "", notes: ""Although the Trump Administration did enact such a policy there was no evidence that it found ⅓ of children coming through the border were being trafficked. A Trump official did claim the policy found 30% of children were being trafficking, however, the official could not back up that statistic. \\n""']"
29,"
[Task ID: 7355983506670879238]
faith in any of the election process that goes on in this country after that election that election was a bunch of bullshit when you had democrat and republican governors illegally changing voting laws signing executive orders that do not stand up with their own state constitutions
","'claim: ""Video claims that the Democrats admitted that the election was '
  'rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s '
  'opinion: Election Misinformation.""',
  'claim: , notes: the election circumstances are disputed',
  'claim: , notes: The video indicates that mask mandates enforced in the U.S. '
  'by executive order are not legal. These mandates have been made in '
  'accordance with the laws of the country. '",1.0,0.5,1.0,Highly Relevant,"['claim: ""Video claims that the Democrats admitted that the election was rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s opinion: Election Misinformation.""', 'claim: , notes: the election circumstances are disputed', 'claim: , notes: The video indicates that mask mandates enforced in the U.S. by executive order are not legal. These mandates have been made in accordance with the laws of the country. ']"
30,"[Task ID: 7355965158251971078]
right it's kind of like deal with i watch fox and i watch red down fox news this morning to deal it was dipped with fauci and 15 other agencies people knew about that covid they were trying to do here they were trying to diffuse it they were making over there people caught it caught it over there in those labs and then spread out there\","'claim: The moment birdwatchers were accosted by gunmen was caught on '
  'dashcam., notes: This is from a genuine news report.',
  'claim: , notes: This user is making a big deal out of this news anchor '
  'mispeaking and saying ""plandemic"". ',
  'claim: ""The video features a Fox News segment from Jesse Watter’s show '
  'criticizing Dr. Anthony Fauci for continuing to receive a government '
  'protective detail despite retiring from his service as the Director of '
  'NIAID. "", notes: ""It is true that Fauci continues to receive a protective '
  'detail from the U.S. Marshal Service. But it is because of continued death '
  'threats Fauci has received related to the COVID-19 pandemic. There have '
  'been baseless claims, often amplified by Fox News, that Fauci lied about '
  'COVID-19, leading to these threats. The video is not misinformation, but it '
  'is opinion. ""'",0.0,0.0,0.5,Somewhat Relevant ,"['claim: The moment birdwatchers were accosted by gunmen was caught on dashcam., notes: This is from a genuine news report.', 'claim: , notes: This user is making a big deal out of this news anchor mispeaking and saying ""plandemic"". ', 'claim: ""The video features a Fox News segment from Jesse Watter’s show criticizing Dr. Anthony Fauci for continuing to receive a government protective detail despite retiring from his service as the Director of NIAID. "", notes: ""It is true that Fauci continues to receive a protective detail from the U.S. Marshal Service. But it is because of continued death threats Fauci has received related to the COVID-19 pandemic. There have been baseless claims, often amplified by Fox News, that Fauci lied about COVID-19, leading to these threats. The video is not misinformation, but it is opinion. ""']"
31,"[Task ID:7355660300982551046]
vote was it was close to ninety k uh people with uh temporary social security so they can uh vote arizona blue is like close to sixty and if you look on twitter or x you'll see all the people they're talking about it so i'm like wow that's crazy it's not even close to the election. yeah with more people voting than there are eligible to vote","'claim: , notes: This TikTok shows an opinion about the voting system in '
  'Arizona.',
  'claim: ""Video implies that \\""illegal people\\"" can vote here in the USA"", '
  'notes: ""While it\'s true that undocumented people are allowed to vote in '
  ""some municipalities, according to Ballotopedia, that's only true for ""
  'municipal elections. It is misleading to imply that they are allowed to '
  'vote in elections in general. ""',
  'claim: ""Recipients of Temporary Protected Status (TPS) can vote.\\n"", '
  'notes: ""Misinformation. Recipients of TPS are not American citizens and '
  'therefore cannot vote.\\n""'",1.0,1.0,1.0,Highly Relevant,"['claim: , notes: This TikTok shows an opinion about the voting system in Arizona.', 'claim: ""Video implies that \\""illegal people\\"" can vote here in the USA"", notes: ""While it\'s true that undocumented people are allowed to vote in some municipalities, according to Ballotopedia, that\'s only true for municipal elections. It is misleading to imply that they are allowed to vote in elections in general. ""', 'claim: ""Recipients of Temporary Protected Status (TPS) can vote.\\n"", notes: ""Misinformation. Recipients of TPS are not American citizens and therefore cannot vote.\\n""']"
32,[Task ID 7355606973473210885] remember when trump said he would fuck his own daughter if they were they were family,"claim: , notes: This is not misinformation. This is something that Donald '
  'Trump said.  ',
  'claim: Former US President Donald Trump said the US could ""go fuck '
  'themselves"" and said Putin is a genius. , notes: Данная информация подана в '
  'искаженном виде. В феврале 2022 года авторитетные СМИ сообщали, что Дональд '
  'Трамп заявил, что Владимир Путин сделал «гениальный» ход, провозгласив две '
  'области на востоке Украины независимыми государствами и перебросив в них '
  'российские вооруженные силы. Однако он не посылал США на три буквы, как '
  'утверждает автор видео.',
  'claim: , notes: Trump’s Mar a Lago allowed black people and Jews before '
  'other clubs. This is accurate, but he did it for business reasons, '
  'according to PolitiFact: “He was a pioneer, of sorts, in Palm Beach by '
  'opening it to Jewish people and African Americans. But he did so on his '
  'own, for business reasons, and he didn’t have to go to court.” \n'
  ' Trump sued Palm Beach for being racist against blacks and Jews. While '
  'Trump invoked discrimination in his lawsuit, it was a zoning matter. '
  'According to PolitiFact: “In any case, the lawsuit was not about opening '
  'the club to Jews and African Americans; it was already open to them.” \n'
  'Trump kicked Epstein out of Mar a Lago for harassing the 14-year-old '
  'daughter of a club member. According to a book this is correct: \n'
  'Also that in 2002 Trump “outed” Epstein as a pedophile. This isn’t entirely '
  'accurate, as Trump said publicly that he is “fun” to be around: In 2002, '
  'Trump told New York magazine, “I’ve known Jeff for 15 years. Terrific guy.” '
  '“He’s a lot of fun to be with. It is even said that he likes beautiful '
  'women as much as I do, and many of them are on the younger side.” \n'
  'Since Trump did not sue Palm Beach for being racist, though he used that as '
  'a pretext, we rate this likely misinformation, factually inaccurate.",0.0,0.5,0.5,Somewhat Relevant ,"['claim: , notes: This is not misinformation. This is something that Donald Trump said.  ', 'claim: Former US President Donald Trump said the US could ""go fuck themselves"" and said Putin is a genius. , notes: Данная информация подана в искаженном виде. В феврале 2022 года авторитетные СМИ сообщали, что Дональд Трамп заявил, что Владимир Путин сделал «гениальный» ход, провозгласив две области на востоке Украины независимыми государствами и перебросив в них российские вооруженные силы. Однако он не посылал США на три буквы, как утверждает автор видео.', 'claim: , notes: Trump’s Mar a Lago allowed black people and Jews before other clubs. This is accurate, but he did it for business reasons, according to PolitiFact: “He was a pioneer, of sorts, in Palm Beach by opening it to Jewish people and African Americans. But he did so on his own, for business reasons, and he didn’t have to go to court.” \n Trump sued Palm Beach for being racist against blacks and Jews. While Trump invoked discrimination in his lawsuit, it was a zoning matter. According to PolitiFact: “In any case, the lawsuit was not about opening the club to Jews and African Americans; it was already open to them.” \nTrump kicked Epstein out of Mar a Lago for harassing the 14-year-old daughter of a club member. According to a book this is correct: \nAlso that in 2002 Trump “outed” Epstein as a pedophile. This isn’t entirely accurate, as Trump said publicly that he is “fun” to be around: In 2002, Trump told New York magazine, “I’ve known Jeff for 15 years. Terrific guy.” “He’s a lot of fun to be with. It is even said that he likes beautiful women as much as I do, and many of them are on the younger side.” \nSince Trump did not sue Palm Beach for being racist, though he used that as a pretext, we rate this likely misinformation, factually inaccurate.  ']"
33,[Task ID 7355561544190624261] your skin and then we take your skin cells and i'm gonna go take them to the lab and do this on the third with them and make another you look at the government focus on their mouth movements when they doing these little like donald okay i'mma i'mma say this joe biden if y'all,"'claim: , notes: The woman in the video teaches a way to massage your lips '
  'and skins and claims that they will look better after doing it for a while.',
  'claim: , notes: This clipping shows a picture of U.S. president Joe Biden '
  'with a satirical text.',
  'claim: , notes: This is not misinformation.  The man in the video is '
  'talking about U.S. president Joe Biden and is expressing his opinion on '
  'him.  ",0.0,0.0,0.0,Not Relevant at all,"['claim: , notes: The woman in the video teaches a way to massage your lips and skins and claims that they will look better after doing it for a while.', 'claim: , notes: This clipping shows a picture of U.S. president Joe Biden with a satirical text.', 'claim: , notes: This is not misinformation.  The man in the video is talking about U.S. president Joe Biden and is expressing his opinion on him.  ']"
34,[Task ID 7355496948469613061] can do business with us or they don't wanna trade or they don't wanna you know comply to whatever it is that we're asking them we start a war and that was nine eleven too nine eleven to me was such an inside job that research i've done on that the things that people have said they heard bombs from the basement um it was just to me i mean this is a touchy subject and i feel for anybody who lost someone they love and nine eleven that is not what i'm trying to do. like take away from that cause yeah it was a fucked up event that happened and it was a sacrifice but it was an inside job from our government it was a reason for us to hate afghanistan or iraq or whoever they were trying to say you know hijacked that plane um and and flew it into that building that was an insurance fraud job but it was,"'claim: ""9/11 incident was an inside job; Iraq weapon inspector David Kelly '
  'suspiciously died after revealing that Iraq does not have weapons of mass '
  'destruction."", notes: ""Islamist organisation Al-Qaeda hijacked four '
  'aircrafts to carried out suicide attack with two of the planes flown into '
  'the twin towers of the World Trade Center in New York City. The '
  'organisation has claimed responsibility for the attack.\\nA post-mortem '
  'result said that there was no evidence suggesting that David Kelly had been '
  'assaulted, strangled or dragged to the scene before his death.\\n""',
  'claim: ""9/11 was an inside job.\\n"", notes: ""This is a widely debunked '
  'conspiracy theory\\n""',
  'claim: ""hate speech content"", notes: ""hate speech content""'",1.0,1.0,0.0,Highly Relevant,"['claim: ""9/11 incident was an inside job; Iraq weapon inspector David Kelly suspiciously died after revealing that Iraq does not have weapons of mass destruction."", notes: ""Islamist organisation Al-Qaeda hijacked four aircrafts to carried out suicide attack with two of the planes flown into the twin towers of the World Trade Center in New York City. The organisation has claimed responsibility for the attack.\\nA post-mortem result said that there was no evidence suggesting that David Kelly had been assaulted, strangled or dragged to the scene before his death.\\n""', 'claim: ""9/11 was an inside job.\\n"", notes: ""This is a widely debunked conspiracy theory\\n""', 'claim: ""hate speech content"", notes: ""hate speech content""']"
35,[Task ID 7355544420516741637] but but we're talking about gaza right now there's no natural causes being done this is bad made bombardment listen listen,"claim: , notes: This claim is unclear. Events in Gaza are still infolding. ',
  'claim: ""Video shows Gaza right now. \\n"", notes: ""We could not confirm the '
  'authenticity of this video. Other claims in the video are correct, so it’s '
  'very possible that it is authentic recent footage from Gaza. \\n""',
  'claim: ""Humanitarian aids should be delivered to Gaza"", notes: ""This is an '
  'opinion.""'",1.0,1.0,1.0,Highly Relevant,"['claim: , notes: This claim is unclear. Events in Gaza are still infolding. ', 'claim: ""Video shows Gaza right now. \\n"", notes: ""We could not confirm the authenticity of this video. Other claims in the video are correct, so it’s very possible that it is authentic recent footage from Gaza. \\n""', 'claim: ""Humanitarian aids should be delivered to Gaza"", notes: ""This is an opinion.""']"
